,run-time(s),path-length(dm)
0,64.34596586227417,19.511261802542453
1,34.30856394767761,22.79358968777693
2,39.40284585952759,19.91369284219537
3,26.40879988670349,20.739119842684094
4,41.032114028930664,21.95085234547204
5,52.29431509971619,18.496341437379083
6,61.251015186309814,20.61920234457746
7,75.52917194366455,22.409608665548504
8,51.52278804779053,19.350886889649182
9,32.79053783416748,20.708908159487777
10,69.41316890716553,17.288718497286887
11,72.22588968276978,20.758668598310063
12,38.514535903930664,18.639277795224473
13,83.95725011825562,17.775278278303198
14,40.87003207206726,22.98718677796127
15,51.71165919303894,17.92720873345694
16,82.19912481307983,19.433234199807924
17,61.80455780029297,19.29493865547968
18,60.419922828674316,18.398549422157085
19,65.20762228965759,19.55010202330658
20,64.28304409980774,19.110415999203028
21,42.289262771606445,21.46974781917957
22,56.85241389274597,19.68042186672264
23,50.78645896911621,18.8231301900562
24,42.90556812286377,20.461128925264227
25,60.0466890335083,17.285793873251333
26,42.11005997657776,22.251296251924213
27,57.56908106803894,19.097655371076467
28,44.769712924957275,19.529284129423022
29,52.40801215171814,18.84064161661161
30,58.72343707084656,17.539329929287444
31,49.61684513092041,17.831163236905667
32,47.81805109977722,19.83704119472302
33,14.305229187011719,29.393064136252278
34,51.297526597976685,23.61241937172531
35,46.82510304450989,19.799956204342354
36,66.59398031234741,18.722713483409457
37,72.71026182174683,19.74536176599593
38,51.18934917449951,21.988426388709776
39,50.1368727684021,18.506493972717312
40,69.46723580360413,17.91512633717969
41,66.09024977684021,23.803370900837976
42,41.42606282234192,18.517365552519752
43,61.19723606109619,17.692768318968888
44,135.9254949092865,19.551953970496847
45,61.058505058288574,18.271417893802212
46,59.259774923324585,20.429382621213982
47,40.337817907333374,19.246621894185733
48,66.88064002990723,17.736740621546414
49,55.4571259021759,17.747421172581895
50,58.91587805747986,18.76540420558063
51,58.2136812210083,18.552956024979967
52,51.07748484611511,17.884681420923066
53,67.1098051071167,17.907475816948523
54,71.20124387741089,21.415945595581448
55,82.43160605430603,20.679561070147926
56,48.330235958099365,18.129638489492486
57,60.10368585586548,18.421031634943215
58,30.269110202789307,22.398203165932436
59,34.19158911705017,21.152033873852183
60,51.78374218940735,17.415782842316972
61,63.33411931991577,17.923180381737776
62,69.68747901916504,16.91686087250531
63,49.15389704704285,20.69406263599229
64,46.54656386375427,19.315950728797336
65,30.42122483253479,18.733946697263995
66,74.23471426963806,18.34403622676507
67,67.04472208023071,19.068480117083123
68,68.45013284683228,18.100652530716406
69,42.80039978027344,22.24168763776129
70,44.810282945632935,20.03027104612416
71,46.79443621635437,21.32849113058152
72,108.15386009216309,17.84773999359483
73,39.29562497138977,16.952455496204298
74,71.45314717292786,18.45292187812996
75,20.014658212661743,20.366669549264742
76,45.45000505447388,21.37472924683764
77,50.23009991645813,24.036498789500833
78,58.63774275779724,17.7834676890893
79,83.89586877822876,19.37770901341176
